id,date,league,home,away,status,score_home,score_away,odd_1,odd_X,odd_2,home_avg_rating,home_position,home_form,away_avg_rating,away_position,away_form,h2h_home_wins,h2h_away_wins,h2h_draws
14530038,2025-12-14,Premier League,İmişli FK,FK Karvan Yevlax,Scheduled,,,1.57,3.9,4.5,,9.0,"L,L,W,L,L",,12.0,"L,L,L,L,L",3,2,2
15035359,2025-12-16,Premier League,Manchester United,Bournemouth,Scheduled,,,1.85,4.0,3.9,6.83,8.0,"D,L,W,D,W",6.76,15.0,"L,D,L,L,D",5,3,2
13981577,2025-12-16,Serie A,Roma,Como,Scheduled,,,2.25,3.0,3.6,6.83,4.0,"L,W,W,L,L",6.90,7.0,"D,D,W,W,L",2,2,0
14083173,2025-12-16,LaLiga,Rayo Vallecano,Real Betis,Scheduled,,,2.63,3.4,2.63,6.76,13.0,"L,D,D,D,L",6.88,6.0,"W,D,D,W,L",1,5,4
15200517,2025-12-16,Copa del Rey,Deportivo La Coruña,Mallorca,Scheduled,,,,,,,,,,,,6,2,2
15200518,2025-12-16,Copa del Rey,Eibar,Elche,Scheduled,,,,,,,,,,,,3,6,1
15035359,2025-12-15,Premier League,Manchester United,Bournemouth,Scheduled,,,1.85,4.0,3.9,6.83,8.0,"D,L,W,D,W",6.76,15.0,"L,D,L,L,D",5,3,2
13981577,2025-12-15,Serie A,Roma,Como,Scheduled,,,2.25,3.0,3.6,6.83,4.0,"L,W,W,L,L",6.90,7.0,"D,D,W,W,L",2,2,0
14083173,2025-12-15,LaLiga,Rayo Vallecano,Real Betis,Scheduled,,,2.63,3.4,2.63,6.76,13.0,"L,D,D,D,L",6.88,6.0,"W,D,D,W,L",1,5,4
15216704,2025-12-15,Liga Portugal Betclic,CD Nacional,Tondela,Scheduled,,,,,,6.72,15.0,"D,L,D,L,L",6.68,17.0,"L,D,L,W,L",4,5,1
14131980,2025-12-15,Liga Portugal Betclic,Sporting Braga,Santa Clara,Scheduled,,,1.45,4.1,7.5,6.84,6.0,"W,L,W,W,W",6.75,11.0,"W,L,L,D,W",7,0,3
14131983,2025-12-15,Liga Portugal Betclic,FC Porto,CF Estrela Amadora,Scheduled,,,1.13,7.0,17.0,6.97,1.0,"W,W,W,W,W",6.77,13.0,"L,W,D,L,W",6,2,0
14109739,2025-12-15,Trendyol Süper Lig,Fenerbahçe,Konyaspor,Scheduled,,,1.24,6.0,9.5,6.94,3.0,"W,W,W,D,D",6.78,12.0,"L,L,D,L,D",6,3,1
14035220,2025-12-15,Scottish Premiership,Rangers,Hibernian,Scheduled,,,1.81,3.6,4.0,6.88,4.0,"W,W,D,D,W",6.88,5.0,"W,W,L,L,W",7,1,2
14015556,2025-12-15,Mozzart Bet Superliga,FK TSC Bačka Topola,FK Crvena zvezda,Scheduled,,,15.0,7.0,1.17,6.75,12.0,"D,D,D,L,W",7.12,2.0,"W,L,W,W,L",0,9,1
14407134,2025-12-15,Championship,Sheffield Wednesday,Derby County,Scheduled,,,3.25,3.05,2.2,6.66,24.0,"L,L,L,L,D",6.74,16.0,"L,W,L,L,D",4,2,4
14083487,2025-12-15,LaLiga 2,CD Castellón,Mirandés,Scheduled,,,1.42,4.33,7.0,6.81,5.0,"D,W,W,W,W",6.71,21.0,"W,L,L,W,D",0,3,1
14911072,2025-12-15,Ligue 2,US Boulogne Côte-d'Opale,Troyes,Scheduled,,,3.6,3.0,1.95,6.68,16.0,"L,D,D,W,D",6.93,1.0,"W,D,L,W,D",3,2,1
14138432,2025-12-15,1. Lig,Sakaryaspor,Hatayspor,Scheduled,,,1.3,4.5,7.5,6.73,16.0,"L,L,D,D,L",6.50,19.0,"L,L,L,D,L",0,3,0
14091799,2025-12-15,Premier League,Maccabi Tel Aviv,Hapoel Petach Tikva,Scheduled,,,1.42,4.1,6.0,6.87,3.0,"W,L,D,W,L",6.75,12.0,"D,D,D,D,L",8,1,1
14633637,2025-12-15,Premier League,Beitar Jerusalem,Bnei Sakhnin,Scheduled,,,1.36,4.2,7.0,6.86,2.0,"L,W,W,W,D",6.78,8.0,"D,D,L,D,W",4,4,2
